word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
evidence,n,Non-STE (not approved),,,INDICATION (n) | SIGN (n) | SHOW (v),INDICATION (n) SIGN (n) SHOW (v),,"IF THERE IS AN INDICATION OF A LEAK, REPLACE THE VALVE. | ONE SIGN OF A LEAK OF HOT AIR FROM A JOINT IS THAT THE TEMPERATURE INDICATION DECREASES. | REPLACE THE INSULATION BLANKETS THAT SHOW CHAFING.","If there is evidence of a leak, replace the valve. | Evidence of a leak of hot air from a joint is that the temperature reading drops. | Replace the insulation blankets with evidence of chafing.",2-1-E11
evidence,v,Non-STE (not approved),,,SHOW (v) | FIND (v),SHOW (v) FIND (v),,"IF THE TEST SHOWS NO FAULT, CONTINUE THE PROCEDURE. | IF YOU DO NOT FIND DAMAGE DURING THE INSPECTION PROCEDURE, ASSEMBLE THE UNIT.","If no fault is evidenced by the test, continue the procedure. | If the inspection does not evidence any damage, assemble the unit.",2-1-E11
evident,adj,Non-STE (not approved),,,FIND (v),FIND (v),,"IF YOU DO NOT FIND DAMAGE, CONTINUE THE INSPECTION.","If no damage is evident, continue the inspection.",2-1-E11
exact,adj,Non-STE (not approved),,,ACCURATE (adj) | CORRECT (adj),ACCURATE (adj) CORRECT (adj),,"IF THE INDICATION IS NOT ACCURATE, DO THE TEST AGAIN. | IF THE INDICATION IS NOT CORRECT, DO THE TEST AGAIN.","If the indication is not exact, do the test again. | If the indication is not exact, do the test again.",2-1-E11
exactly,adv,Non-STE (not approved),,,ACCURATELY (adv) | FULLY (adv) | CORRECT (adj),ACCURATELY (adv) FULLY (adv) CORRECT (adj),,PUT THE REPAIR SHEET ACCURATELY ON THE DAMAGED AREA. | FIND THE BOLT HOLE THAT ALIGNS FULLY WITH ONE OF THE OUTER SLOTS. | THE SEAL MUST BE OF THE CORRECT DIMENSION FOR THE GROOVE.,Put the repair sheet exactly on the damaged area. | Find the bolt hole that aligns exactly with one of the outer slots. | The seal must fit the groove exactly.,2-1-E12
examination,n,Non-STE (not approved),,,EXAMINE (v) | FIND (v),EXAMINE (v) FIND (v),,"EXAMINE THE BLADE FOR CRACKS. | IF YOU FIND CORROSION, REMOVE IT WITH THE SPECIFIED MATERIAL.","Do an examination of the blades for cracks. | If the examination reveals corrosion, it must be removed with the specified material.",2-1-E12
EXAMINE,v,STE (approved),"EXAMINES, EXAMINED, EXAMINED",To look carefully at,,To look carefully at,,EXAMINE THE COMPUTER FOR DAMAGE.,,2-1-E12
EXAMPLE,n,STE (approved),,Something from a group which has the same qualities as the group,,Something from a group which has the same qualities as the group,,FIGURE 2 IS AN EXAMPLE OF A REPAIR PROCEDURE FOR A DAMAGED WEB.,,2-1-E12
exceed,v,Non-STE (not approved),,,MORE THAN,MORE THAN,,MAKE SURE THAT THE INDICATION IS NOT MORE THAN 400 KNOTS.,Ensure that the indication does not exceed 400 knots.,2-1-E12
except,prep,Non-STE (not approved),,,,,"To replace this word, use a different construction. Be accurate.","KEEP ALL THE PARTS THAT ARE SERVICEABLE AND DISCARD THOSE THAT ARE BROKEN. | REMOVE ALL SCREWS, BUT NOT THE ONE ON THE LEFT SIDE OF THE FLANGE.",Keep all parts except those that are broken. | Remove all screws except the one on the left side of the flange.,2-1-E12
exception,n,Non-STE (not approved),,,,,"To replace this word, use a different construction. Be accurate.","KEEP ALL THE PARTS THAT ARE SERVICEABLE AND DISCARD THOSE THAT ARE BROKEN. | REMOVE ALL SCREWS, BUT NOT THE ONE ON THE LEFT SIDE OF THE FLANGE.",Keep all parts with the exception of those that are broken. | Remove all screws with the exception of the one on the left side of the flange.,2-1-E13
exceptional,adj,Non-STE (not approved),,,UNUSUAL (adj),UNUSUAL (adj),,"IF IT IS NECESSARY TO APPLY UNUSUAL FORCE TO OPEN THE UNIT, EXAMINE THE CONTROL LINKAGE.","If exceptional force is needed to open the unit, examine the control linkage.",2-1-E13
exceptionally,adv,Non-STE (not approved),,,UNUSUALLY (adv),UNUSUALLY (adv),,"IF THE TIRE PRESSURE IS UNUSUALLY HIGH, OPEN THE VALVE.","If the tire pressure is exceptionally high, open the valve.",2-1-E13
excess,adj,Non-STE (not approved),,,TOO MUCH MORE THAN | UNWANTED (adj) | NOT NECESSARY,TOO MUCH MORE THAN UNWANTED (adj) NOT NECESSARY,,DO NOT APPLY TOO MUCH ADHESIVE ON THE GASKET. | DO NOT PUT MORE THAN THE PERMITTED WEIGHT ON THE TROLLEY. | REMOVE UNWANTED COMPOUND FROM THE GASKET. | REMOVE ALL REMAINING SEALANT THAT IS NOT NECESSARY.,Do not apply excess adhesive on the gasket. | Do not put excess weight on the trolley. | Wipe excess compound from the gasket. | Remove all the excess sealant.,2-1-E13
excess,n,Non-STE (not approved),,,TOO MUCH MORE THAN,TOO MUCH MORE THAN,,"IF YOU USE TOO MUCH PAINT, THE FINISH WILL BE UNSATISFACTORY. | THE HYDRAULIC PRESSURE MUST NOT BE MORE THAN 200 bar.",An excess of paint will give a poor finish. | The hydraulic pressure must not be in excess of 200 bar.,2-1-E13
excessive,adj,Non-STE (not approved),,,TOO MUCH MORE THAN,TOO MUCH MORE THAN,,"TOO MUCH FORCE CAN CAUSE DAMAGE TO THE SEAL. | IF THE PRESSURE IS MORE THAN 1000 kPa, STOP THE TEST.","Excessive force can damage the seal. | If the pressure is excessive, stop the test.",2-1-E14
excessively,adv,Non-STE (not approved),,,TOO MUCH MORE THAN,TOO MUCH MORE THAN,,"BE CAREFUL NOT TO TURN THE INNER RACES TOO MUCH. | IF THE OIL LEAKAGE IS MORE THAN FIVE DROPS A MINUTE, REJECT THE UNIT.","Be careful not to excessively rotate the inner races. | If oil leaks excessively, reject the unit.",2-1-E14
exchange,v,Non-STE (not approved),,,INTERCHANGE (v) | REPLACE (v),INTERCHANGE (v) REPLACE (v),,INTERCHANGE THE No. | 1 AND No. | 2 COMPUTERS. | THEN DO THE TEST AGAIN. | REPLACE THE O-RINGS.,Exchange the No. | 1 and No. | 2 computers. | Then do the test again. | Exchange the O-rings.,2-1-E14
exclude,v,Non-STE (not approved),,,NOT INCLUDE NOT USE,NOT INCLUDE NOT USE,,THIS PROCEDURE DOES NOT INCLUDE THE REMOVAL OF THE PISTON. | DO NOT USE OXYGEN.,This procedure excludes the removal of the piston. | Exclude the use of oxygen.,2-1-E14
excluding,prep,Non-STE (not approved),,,WITHOUT (prep),WITHOUT (prep),,"THE WEIGHT OF THE UNIT, WITHOUT THE MOTOR, IS 10 kg.","The weight of the unit, excluding the motor, is 10 kg.",2-1-E14
execute,v,Non-STE (not approved),,,DO (v),DO (v),,DO THESE STEPS.,Execute the following operations.,2-1-E14
exempt,adj,Non-STE (not approved),,,NO (adj) | NOT SHOW,NO (adj) NOT SHOW,,MAKE SURE THAT THERE ARE NO METAL PARTICLES IN THE OIL. | MAKE SURE THAT THE SEALS DO NOT SHOW SIGNS OF DETERIORATION.,Ensure the oil is exempt from metal particles. | Ensure the seals are exempt from signs of deterioration.,2-1-E14
exercise,v,Non-STE (not approved),,,MAKE SURE (v) | CAREFUL (adj),MAKE SURE (v) CAREFUL (adj),,MAKE SURE THAT YOU DO NOT GET ACID ON YOUR SKIN. | BE CAREFUL THAT YOU DO NOT GET ACID ON YOUR SKIN.,Exercise caution not to allow acid to contact skin. | Exercise caution not to allow acid to contact skin.,2-1-E15
exert,v,Non-STE (not approved),,,APPLY (v) | PUT (v),APPLY (v) PUT (v),,APPLY A LIGHT FORCE TO THE PEDALS. | PUT PRESSURE ON THE WOUND.,Exert a light force on the pedals. | Exert pressure on the wound.,2-1-E15
exhale,v,Non-STE (not approved),,,BREATHE (v),BREATHE (v),,BREATHE INTO THE OXYGEN MASK.,Exhale into the oxygen mask.,2-1-E15
EXHAUST,n,STE (approved),,The gas from an engine,,The gas from an engine,,THE EXHAUST FROM THE APU IS DANGEROUS.,,2-1-E15
exhaust,v,Non-STE (not approved),,,REMOVE (v) | DECREASE (v) | RELEASE (v),REMOVE (v) DECREASE (v) RELEASE (v),,USE A FAN TO REMOVE THE GASES. | DECREASE THE NITROGEN PRESSURE TO 120 psi. | RELEASE THE HYDRAULIC PRESSURE IN THE ACCUMULATOR.,Exhaust the gases using a fan. | Exhaust the nitrogen pressure to 120 psi. | Exhaust all the hydraulic pressure in the accumulator.,2-1-E15
exhaustive,adj,Non-STE (not approved),,,ALL (adj) | FULL (adj),ALL (adj) FULL (adj),,ALL THE TEST CONDITIONS ARE GIVEN IN PARAGRAPH 2.0. | THIS IS NOT A FULL LIST.,An exhaustive list of test conditions is given at paragraph 2.0. | The list is not exhaustive.,2-1-E15
exist,v,Non-STE (not approved),,,BE (v),BE (v),,THERE ARE TWO DIFFERENT PROCEDURES FOR THIS REPAIR.,Two different procedures exist for this repair.,2-1-E15
EXIT,n,STE (approved),,An opening to go out of a space,,An opening to go out of a space,,MAKE SURE THAT ALL THE EMERGENCY EXITS ARE CLEAR OF UNWANTED OBJECTS.,,2-1-E15
EXPAND,v,STE (approved),"EXPANDS, EXPANDED, EXPANDED","To increase in dimension, volume, or time",,"To increase in dimension, volume, or time",,THE BELLOWS MUST EXPAND. | HEAT EXPANDS THE GAS IN THE CONTAINER.,,2-1-E16
expect,v,Non-STE (not approved),,,POSSIBLE (adj),POSSIBLE (adj),,"IF IT IS POSSIBLE THAT THE TEMPERATURE WILL DECREASE TO -20 DEGREES C, REMOVE THE BATTERIES.","If temperature is expected to drop to -20 degrees C, remove the batteries.",2-1-E16
expel,v,Non-STE (not approved),,,REMOVE (v) | BLEED (v) | RELEASE (v),REMOVE (v) BLEED (v) RELEASE (v),,REMOVE THE AIR BUBBLES FROM THE COMPOUND WITH A SPATULA. | BLEED ALL NITROGEN FROM THE SYSTEM. | RELEASE ALL NITROGEN.,Expel the air bubbles from the compound with a spatula. | Expel all nitrogen from the system. | Expel all nitrogen.,2-1-E16
EXPIRED,adj,STE (approved),,More than the permitted life,,More than the permitted life,,MAKE SURE THAT THE SHELF LIFE IS NOT EXPIRED.,,2-1-E16
explain,v,Non-STE (not approved),,,TELL (v),TELL (v),,THE TECHNICIAN WILL TELL THE OPERATOR THE PROCEDURE FOR SENSOR CALIBRATION.,The technician will explain the sensor calibration procedure to the operator.,2-1-E16
EXPLOSION,n,STE (approved),,The effect when an explosive material quickly releases its energy,,The effect when an explosive material quickly releases its energy,,THIS CONDITION CAN CAUSE AN EXPLOSION.,,2-1-E16
EXPLOSIVE,adj,STE (approved),,That can cause an explosion,,That can cause an explosion,,THE SAFETY PRECAUTIONS THAT FOLLOW ARE APPLICABLE TO EXPLOSIVE ITEMS.,,2-1-E16
expose,v,Non-STE (not approved),,,GET (v),GET (v),,REMOVE THE COVER ASSEMBLY TO GET ACCESS TO THE LAMP ASSEMBLY.,Remove cover assembly to expose lamp assembly.,2-1-E17
EXTEND,v,STE (approved),"EXTENDS, EXTENDED, EXTENDED","To increase, or cause something to increase, in dimension or range",,"To increase, or cause something to increase, in dimension or range",,FULLY EXTEND THE JACK RAM. | MAKE SURE THAT THE RODS EXTEND AND RETRACT.,,2-1-E17
EXTENSION,n,STE (approved),,1. The action when something extends 2. The result when something extends,,1. The action when something extends 2. The result when something extends,,MAKE SURE THAT THE EXTENSION OF THE ACTUATOR IS SMOOTH. | THE TOTAL EXTENSION OF THE PISTON IS 125 mm.,,2-1-E17
extent,n,Non-STE (not approved),,,DEPTH (n) | LENGTH (n) | WIDTH (n),DEPTH (n) LENGTH (n) WIDTH (n),,MEASURE THE DEPTH OF THE CRACK. | MEASURE THE LENGTH OF THE CRACK. | MEASURE THE WIDTH OF THE CRACK.,Measure the extent of the crack. | Measure the extent of the crack. | Measure the extent of the crack.,2-1-E17
exterior,n,Non-STE (not approved),,,EXTERNAL (adj),EXTERNAL (adj),,EXAMINE THE EXTERNAL SURFACE OF THE CONTAINER.,Examine the exterior of the container.,2-1-E17
EXTERNAL,adj,STE (approved),,"Of, or on, the outer side",,"Of, or on, the outer side",,CONNECT THE EXTERNAL POWER SUPPLY.,,2-1-E17
EXTERNALLY,adv,STE (approved),,"Of, or on, the outer side",,"Of, or on, the outer side",,THE CONTROL BOX IS INSTALLED EXTERNALLY.,,2-1-E17
EXTINGUISH,v,STE (approved),"EXTINGUISHES, EXTINGUISHED, EXTINGUISHED",To stop burning GO OFF BE OFF,,To stop burning GO OFF BE OFF,"For lights or lamps, use :","TO EXTINGUISH A FIRE IN THE ENGINE, ACTIVATE THE FIRE SUPPRESSION SYSTEM IMMEDIATELY. | WHEN THE FLAME EXTINGUISHES, STOP THE FUEL SUPPLY. | THE “AUTO BRK” PUSHBUTTON LIGHT GOES OFF. | MAKE SURE THAT THE GREEN LIGHT ON THE PANEL IS OFF.",The AUTO BRK pushbutton light extinguishes. | Make sure that the green light on the panel extinguishes.,2-1-E18
extra,adj,Non-STE (not approved),,,MORE (adj),MORE (adj),,THIS MATERIAL GIVES MORE PROTECTION.,This material provides extra protection.,2-1-E18
extract,v,Non-STE (not approved),,,REMOVE (v),REMOVE (v),,REMOVE THE BOLT.,Extract the bolt.,2-1-E18
extreme,adj,Non-STE (not approved),,,VERY HIGH (adj) | VERY BAD (adj) | VERY COLD (adj) | VERY HOT (adj),VERY HIGH (adj) VERY BAD (adj) VERY COLD (adj) VERY HOT (adj),,"DO NOT APPLY VERY HIGH LOADS. | WHEN THE WEATHER IS VERY BAD, KEEP THESE PARTS IN A DRY AREA. | MAKE SURE THAT YOU KNOW THE RISKS RELATED TO VERY COLD TEMPERATURES. | MAKE SURE THAT YOU KNOW THE RISKS RELATED TO VERY HOT TEMPERATURES.","Do not apply extreme loads. | In extreme weather conditions, keep these parts in a dry area. | Make sure that you know the risks related to extreme cold temperatures. | Make sure that you know the risks related to extreme hot temperatures.",2-1-E18
extremely,adv,Non-STE (not approved),,,VERY (adv),VERY (adv),,IT IS VERY IMPORTANT TO OBEY THE SAFETY PRECAUTIONS.,It is extremely important to observe the safety precautions.,2-1-E18
exude,v,Non-STE (not approved),,,OUT OF (prep),OUT OF (prep),,MAKE SURE THAT GREASE COMES OUT OF THE JOINT.,Make sure grease exudes from the joint.,2-1-E18
fabricate,v,Non-STE (not approved),,,MAKE (v),MAKE (v),,USE COPPER TO MAKE THE CHILL BLOCK.,Use copper to fabricate the chill block.,2-1-F1
FACE,n,STE (approved),,The front surface of an object,,The front surface of an object,This word is a technical noun when it refers to a part of the body.,"CLEAN THE FACE OF THE INDICATOR. | WHEN YOU DO MAINTENANCE ON THE WASTE WATER SYSTEM, DO NOT TOUCH YOUR FACE WITH YOUR GLOVES.",,2-1-F1
face,v,Non-STE (not approved),,,POINT (v) | TURN (v),POINT (v) TURN (v),,"WHEN YOU INSTALL THE PITOT HEAD, MAKE SURE THAT THE OPENING POINTS FORWARD. | BEFORE YOU PUSH THE VALVE STEM DOWN, TURN YOUR FACE AWAY FROM THE DRAIN VALVE.","When installing the pitot head, make sure that the opening is facing forward. | Face away from the drain valve when pushing the valve stem down.",2-1-F1
facilitate,v,Non-STE (not approved),,,HELP (v) | MAKE ... EASIER,HELP (v) MAKE ... EASIER,,IDENTIFY THE COMPONENT WITH A CODE TO HELP YOU TO CORRECTLY INSTALL IT AGAIN. | THIS MAKES FAULT ISOLATION EASIER.,Mark the component with a code that will facilitate its correct reinstallation. | This facilitates fault isolation.,2-1-F1
facility,n,Non-STE (not approved),,,,,Be accurate. Use the name of the facility as a technical noun.,WEIGH THE AIRCRAFT ON A WEIGHBRIDGE.,You need a special facility to weigh the aircraft.,2-1-F1
FACT,n,STE (approved),,Something that occurred or is correct,,Something that occurred or is correct,,GET ALL THE FACTS ABOUT THE INCIDENT FROM THE PILOT.,,2-1-F1
factor,n,Non-STE (not approved),,,CAUSE (n),CAUSE (n),,THERE CAN BE MANY CAUSES FOR CORROSION.,Corrosion can be caused by several factors.,2-1-F1
fail,v,Non-STE (not approved),,,IF ... NOT | FAILURE (TN) UNSATISFACTORY (adj),IF ... NOT FAILURE (TN) UNSATISFACTORY (adj),,"IF YOU DO NOT OBEY THESE INSTRUCTIONS, THERE IS A RISK OF INJURY. | IF YOU DO NOT OBEY THE PROCEDURE CORRECTLY, FAILURE OF THE EMERGENCY FLOTATION GEAR CAN OCCUR. | IF THE TEST RESULTS ARE UNSATISFACTORY, DO THE FAULT ISOLATION PROCEDURE.","If you fail to comply with these instructions, there is a risk of injury. | If you do not follow the procedure correctly, the emergency flotation gear can fail. | If the test fails, do the fault isolation procedure.",2-1-F2
failed,adj,Non-STE (not approved),,,DEFECTIVE (adj) | UNSERVICEABLE (adj),DEFECTIVE (adj) UNSERVICEABLE (adj),,REPLACE THE DEFECTIVE PUMP. | REPLACE THE UNSERVICEABLE VALVE.,Replace the failed pump. | Replace the failed valve.,2-1-F2
failure,n,Non-STE (not approved),,,IF ... NOT,IF ... NOT,This word when it means a performance error or loss of serviceability is a technical noun.,"IF YOU DO NOT OBEY THESE INSTRUCTIONS, THERE IS A RISK OF INJURY. | CONTAMINATION CAN CAUSE A FAILURE OF THE PUMP.","Failure to comply with these instructions, will result in a risk of injury.",2-1-F2
faint,adj,Non-STE (not approved),,,DIM (adj) | INTENSITY (n),DIM (adj) INTENSITY (n),Refer also to BRIGHT (adj).,"IF THE LIGHT IS TOO DIM, REPLACE THE BATTERY. | TURN THE KNOB COUNTERCLOCKWISE TO DECREASE THE INTENSITY OF THE LIGHT.","If the light is faint, replace the battery. | Turn the knob anticlockwise to make the light fainter.",2-1-F2
fall,n,Non-STE (not approved),,,DECREASE (v),DECREASE (v),,"WHEN THE PRESSURE DECREASES, THE INDICATOR SHOWS THAT THERE IS A LEAK.","When there is a fall in pressure, the indicator shows a leak.",2-1-F3
FALL,v,STE (approved),"FALLS, FELL, FALLEN",To move down by the force of gravity,,To move down by the force of gravity,,MAKE SURE THAT THE TOOLS DO NOT FALL INTO THE ENGINE.,,2-1-F3
false,adj,Non-STE (not approved),,,INCORRECT (adj),INCORRECT (adj),,MAKE SURE THAT THERE ARE NO INCORRECT INDICATIONS ON THE INSTRUMENTS.,Make sure there are no false indications on the instruments.,2-1-F3
falter,v,Non-STE (not approved),,,SMOOTHLY (adv) | CONSTANT (adj),SMOOTHLY (adv) CONSTANT (adj),,MAKE SURE THAT THE GENERATOR OPERATES SMOOTHLY. | MAKE SURE THAT THE PRESSURE STAYS CONSTANT.,Make sure that the generator does not falter. | Make sure that the pressure does not falter.,2-1-F3
familiar,adj,Non-STE (not approved),,,KNOW (v),KNOW (v),,ALL PERSONNEL MUST FULLY KNOW THE SAFETY PRECAUTIONS.,All personnel must be thoroughly familiar with the safety precautions.,2-1-F3
FAR,adj,STE (approved),"FARTHER, FARTHEST",At or to a relatively large distance,,At or to a relatively large distance,,REMOVE THE BOLT THAT IS FARTHEST FROM THE CENTER.,,2-1-F3
fashion,n,Non-STE (not approved),,,PROCEDURE (n),PROCEDURE (n),,USE THIS PROCEDURE TO DO THE TASK.,Carry out the task in this fashion.,2-1-F3
FAST,adj,STE (approved),"FASTER, FASTEST",At high speed,,At high speed,,A FAST MOVEMENT OF THE THROTTLE WILL CAUSE A SURGE.,,2-1-F3
fast,adv,Non-STE (not approved),,,QUICKLY (adv),QUICKLY (adv),,DO NOT LET THE CABIN ALTITUDE CHANGE TOO QUICKLY.,Do not let the cabin altitude change too fast.,2-1-F3
fasten,v,Non-STE (not approved),,,ATTACH (v) | CONNECT (v),ATTACH (v) CONNECT (v),,ATTACH THE TWO STRINGERS TOGETHER WITH RIVETS. | CONNECT THE HOSE TO THE TEST EQUIPMENT.,Fasten the two stringers together with rivets. | Fasten the hose to the test equipment.,2-1-F4
fatal,adj,Non-STE (not approved),,,KILL (v),KILL (v),,HIGH VOLTAGE IN THE ELECTRONIC SYSTEM CAN KILL YOU.,High voltage in the electronic system can be fatal.,2-1-F4
faulty,adj,Non-STE (not approved),,,DEFECTIVE (adj) | INCORRECT (adj) | UNSERVICEABLE (adj) | UNSATISFACTORY (adj),DEFECTIVE (adj) INCORRECT (adj) UNSERVICEABLE (adj) UNSATISFACTORY (adj),,REPLACE ALL DEFECTIVE ELECTRONIC COMPONENTS. | AN INCORRECT ADJUSTMENT OF THE PRESSURE REGULATOR CAN BE DANGEROUS. | REPLACE THE UNSERVICEABLE CONTROL UNIT. | UNSATISFACTORY OPERATION OF THE SYSTEM CAN CAUSE DAMAGE.,All faulty electronic components must be replaced. | Faulty adjustment of the pressure regulator can be dangerous. | Replace the faulty control unit. | Faulty operation of the system can cause damage.,2-1-F4
fear,v,Non-STE (not approved),,,THINK (v) | MAKE SURE (v),THINK (v) MAKE SURE (v),,"IF YOU THINK THAT THERE IS A FAULT, DO THE FULL TEST PROCEDURE OF THE UNIT. | DO A TEST OF THE UNIT TO MAKE SURE THAT THERE IS NO PROBLEM WITH ITS OPERATION.",Fully test the unit if you fear that there is a fault. | Test the unit if you fear that there is a problem with its operation.,2-1-F4
feasible,adj,Non-STE (not approved),,,POSSIBLE (adj) | CAN (CANNOT) (v),POSSIBLE (adj) CAN (CANNOT) (v),,"IF IT IS NOT POSSIBLE TO USE THE AUTOMATIC CONTROL, DO THE PROCEDURE MANUALLY. | IF YOU CANNOT REMOVE THE BOLT, CUT IT.","If it is not feasible to use the automatic control, do the manual procedure. | If it is not feasible to remove the bolt, you must cut it.",2-1-F4
